serial,setting,dataset_name,method,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
23,ft_448,cars,hiresnet50.tv_in1k,,,,92.728,2.1654,94.46677242546583,0.01,86.95466223409903,2.3352587691239353,-6.472962440898855,92.728\pm{2.1654},92.728+-2.1654
23,ft_448,cars,hiresnet50.gluon_in1k,,,,92.4157,2.2741,94.43328550932569,0.03,86.39448436518938,2.46069997596296,-6.797609100759996,92.4157\pm{2.2741},92.4157+-2.2741
23,ft_448,cars,hiresnet50.in21k_miil,,,,92.8718,0.6535,93.81323157840455,0.0001,91.70252456162169,0.7036275531739327,-1.9533775565332574,92.8718\pm{0.6535},92.8718+-0.6535
23,ft_448,cars,hiresnet50.a1_in1k,,,,91.8426,1.4744,93.3072879541132,0.0001,88.57762503753628,1.6054015852128727,-4.40727186924235,91.8426\pm{1.4744},91.8426+-1.4744
23,ft_448,cars,hiresnet50.tv2_in1k,,,,93.1894,0.6448,93.99704562895649,0.03,92.40556780645532,0.69196597016222,-1.927598118554342,93.1894\pm{0.6448},93.1894+-0.6448
23,ft_448,cars,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,91.2398,4.4194,94.52403990524174,0.03,81.1366745429673,4.8436858347014065,-13.209675131838651,91.2398\pm{4.4194},91.2398+-4.4194
23,ft_448,cars,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,92.3459,2.2728,94.5668085209642,0.03,86.6749372878631,2.4611736806348863,-6.793766625767782,92.3459\pm{2.2728},92.3459+-2.2728
23,ft_448,cars,hiresnet50.in1k_supcon,,,,92.576,2.4767,94.8117119275906,0.03,86.59170531513796,2.67530327569991,-7.403314160235872,92.576\pm{2.4767},92.576+-2.4767
23,ft_448,cars,hiresnet50.in1k_swav,,,,93.0379,0.6674,94.1417916106782,0.0001,91.67589275693776,0.7172903048053136,-1.9948816985180085,93.0379\pm{0.6674},93.0379+-0.6674
23,ft_448,cars,hiresnet50.in1k_mocov3,,,,93.263,0.4637,94.01591235163689,5e-05,92.49753549643442,0.4971628285387403,-1.386035952000409,93.263\pm{0.4637},93.263+-0.4637
23,ft_448,cars,hiresnet50.in1k_spark,,,,88.9793,4.6102,92.81159666465462,0.01,79.00946672692693,5.181227477754176,-13.778854807743732,88.9793\pm{4.6102},88.9793+-4.6102
23,ft_448,cars,hivit_base_patch16_224.orig_in21k,,,,86.3733,6.4599,91.97575838462028,0.03,71.41121265708367,7.479001405665447,-19.304783141254212,86.3733\pm{6.4599},86.3733+-6.4599
23,ft_448,cars,hideit_base_patch16_224.fb_in1k,,,,86.9414,13.0138,93.5240429384769,0.03,52.44863974569356,14.96845002837068,-38.891660193826475,86.9414\pm{13.0138},86.9414+-13.0138
23,ft_448,cars,hivit_base_patch16_224_miil.in21k,,,,78.4502,21.1216,92.2222997382318,0.03,35.34525799181633,26.92360776498775,-63.09561089302726,78.4502\pm{21.1216},78.4502+-21.1216
23,ft_448,cars,hideit3_base_patch16_224.fb_in1k,,,,85.4396,16.7414,93.23279169864202,0.01,41.032695241764,19.594451439456666,-50.02833117744295,85.4396\pm{16.7414},85.4396+-16.7414
23,ft_448,cars,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,85.5711,16.8332,93.63390671588596,0.03,40.904571388706046,19.671590085279476,-50.30288959834904,85.5711\pm{16.8332},85.5711+-16.8332
23,ft_448,cars,hivit_base_patch16_224.in1k_mocov3,,,,80.7807,21.6064,92.99092152717324,0.01,35.656771242504114,26.74694688602951,-64.55163853822901,80.7807\pm{21.6064},80.7807+-21.6064
23,ft_448,cars,hivit_base_patch16_224.dino,,,,62.1449,34.7754,90.08320164037356,0.003,4.312532417700747,55.95851594605404,-103.7665556796274,62.1449\pm{34.7754},62.1449+-34.7754
23,ft_448,cars,hivit_base_patch16_clip_224.laion2b,,,,63.9674,34.3382,90.99845001683444,5e-06,5.837400396140511,53.680868946298055,-102.4778919017972,63.9674\pm{34.3382},63.9674+-34.3382
23,ft_448,cars,hivit_base_patch16_siglip_224.v2_webli,,,,78.8366,28.5004,95.57511655206092,0.003,10.973880812057716,36.15119883298167,-85.1396600695771,78.8366\pm{28.5004},78.8366+-28.5004
23,ft_448,cars,hivit_base_patch16_224.mae,,,,82.1819,21.5724,93.21410697007106,0.01,29.156972952642096,26.249595921749037,-64.45477561329676,82.1819\pm{21.5724},82.1819+-21.5724
23,ft_448,cub,hiresnet50.tv_in1k,,,,85.5382,2.7289,88.74209754011224,0.01,79.17064912596764,3.1902927130800602,-8.154857544815599,85.5382\pm{2.7289},85.5382+-2.7289
23,ft_448,cub,hiresnet50.gluon_in1k,,,,84.4469,2.8804,87.4383721585869,0.03,77.13949173963448,3.4109250603886103,-8.607155692786838,84.4469\pm{2.8804},84.4469+-2.8804
23,ft_448,cub,hiresnet50.in21k_miil,,,,87.012,2.2638,89.09994311745517,0.003,82.33440454023184,2.6016531067884485,-6.765236983415119,87.012\pm{2.2638},87.012+-2.2638
23,ft_448,cub,hiresnet50.a1_in1k,,,,85.1277,2.3355,87.63963820245425,0.0001,79.86706951964321,2.7435830559450447,-6.979212571465109,85.1277\pm{2.3355},85.1277+-2.3355
23,ft_448,cub,hiresnet50.tv2_in1k,,,,86.3373,1.7455,88.94508263115985,0.03,83.12397630740413,2.0216953291971698,-5.216217143195198,86.3373\pm{1.7455},86.3373+-1.7455
23,ft_448,cub,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,83.9209,4.6518,87.90327127802219,0.01,72.4132121840563,5.543106940227396,-13.900052477695883,83.9209\pm{4.6518},83.9209+-4.6518
23,ft_448,cub,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,84.2556,4.8645,88.02422343762677,0.03,71.36266807124281,5.773466162647394,-14.535664629493388,84.2556\pm{4.8645},84.2556+-4.8645
23,ft_448,cub,hiresnet50.in1k_supcon,,,,83.7665,4.1857,87.52638737421731,0.01,73.81849887299268,4.996878549662532,-12.50715497989813,83.7665\pm{4.1857},83.7665+-4.1857
23,ft_448,cub,hiresnet50.in1k_swav,,,,87.213,1.3862,88.64122385157333,0.0001,84.03747797900563,1.589394018251828,-4.142578294179701,87.213\pm{1.3862},87.213+-1.3862
23,ft_448,cub,hiresnet50.in1k_mocov3,,,,86.2672,1.4416,87.63372468015407,0.03,83.06917308329677,1.6710914565646648,-4.308099431548481,86.2672\pm{1.4416},86.2672+-1.4416
23,ft_448,cub,hiresnet50.in1k_spark,,,,74.0036,6.3736,79.9386122279645,0.01,60.066184704591606,8.612532180891645,-19.03462609755103,74.0036\pm{6.3736},74.0036+-6.3736
23,ft_448,cub,hivit_base_patch16_224.orig_in21k,,,,82.9119,15.1094,92.57763560875586,0.03,46.417024343083305,18.223488227035926,-45.14609037213742,82.9119\pm{15.1094},82.9119+-15.1094
23,ft_448,cub,hideit_base_patch16_224.fb_in1k,,,,81.6604,13.3994,90.19785545426166,0.03,46.90227698113312,16.40864570668113,-40.034020935563326,81.6604\pm{13.3994},81.6604+-13.3994
23,ft_448,cub,hivit_base_patch16_224_miil.in21k,,,,82.9509,12.5835,91.77325905215864,0.01,54.306144424717424,15.169811027925062,-37.5987874178273,82.9509\pm{12.5835},82.9509+-12.5835
23,ft_448,cub,hideit3_base_patch16_224.fb_in1k,,,,83.8898,9.7472,90.68592732968712,0.03,59.20116565151201,11.61902323353745,-29.125330626606225,83.8898\pm{9.7472},83.8898+-9.7472
23,ft_448,cub,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,82.8477,17.6117,92.53349047716624,0.01,36.81607707932509,21.25789196180986,-52.6224487906055,82.8477\pm{17.6117},82.8477+-17.6117
23,ft_448,cub,hivit_base_patch16_224.in1k_mocov3,,,,81.395,13.3739,89.81533307570545,0.01,46.20888211049485,16.43092341051555,-39.957524104479674,81.395\pm{13.3739},81.395+-13.3739
23,ft_448,cub,hivit_base_patch16_224.dino,,,,74.9201,18.8206,88.02408591385235,0.003,31.214940032758165,25.120857649903215,-56.21053136089513,74.9201\pm{18.8206},74.9201+-18.8206
23,ft_448,cub,hivit_base_patch16_clip_224.laion2b,,,,56.4225,29.7651,83.22498751971747,5e-06,13.447349710581216,52.75398156468547,-88.76782661375762,56.4225\pm{29.7651},56.4225+-29.7651
23,ft_448,cub,hivit_base_patch16_siglip_224.v2_webli,,,,77.1751,20.5321,89.70510777050583,0.01,27.49175888781773,26.604502890555835,-61.33013898081861,77.1751\pm{20.5321},77.1751+-20.5321
23,ft_448,cub,hivit_base_patch16_224.mae,,,,71.7127,20.265,87.62464811104219,0.01,39.01755766028052,28.25860954510887,-60.51240914924404,71.7127\pm{20.265},71.7127+-20.265
23,ft_448,all,hiresnet50.tv_in1k,,,,90.4226,4.0527,94.46677242546583,0.01,79.17064912596764,4.481976561808627,-12.113342624445547,90.4226\pm{4.0527},90.4226+-4.0527
23,ft_448,all,hiresnet50.gluon_in1k,,,,89.8403,4.4268,94.43328550932569,0.03,77.13949173963448,4.927408829490288,-13.231127787109136,89.8403\pm{4.4268},89.8403+-4.4268
23,ft_448,all,hiresnet50.in21k_miil,,,,90.7857,3.0631,93.90246716979392,0.0001,82.33440454023184,3.3739572992225066,-9.155467886314248,90.7857\pm{3.0631},90.7857+-3.0631
23,ft_448,all,hiresnet50.a1_in1k,,,,89.5317,3.6766,93.6018601860186,0.0005,79.86706951964321,4.106441568899297,-10.988635884660106,89.5317\pm{3.6766},89.5317+-3.6766
23,ft_448,all,hiresnet50.tv2_in1k,,,,90.893,3.4637,94.1029102910291,0.03,83.12397630740413,3.810784782031878,-10.353104086306718,90.893\pm{3.4637},90.893+-3.4637
23,ft_448,all,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,89.3074,5.3651,94.52403990524174,0.03,72.4132121840563,6.007407179046003,-16.035106538765426,89.3074\pm{5.3651},89.3074+-5.3651
23,ft_448,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,89.727,4.9926,94.5668085209642,0.03,71.36266807124281,5.56416562934259,-14.92204131862198,89.727\pm{4.9926},89.727+-4.9926
23,ft_448,all,hiresnet50.in1k_supcon,,,,89.7437,5.1273,94.8117119275906,0.03,73.81849887299268,5.713220061965737,-15.324627487855972,89.7437\pm{5.1273},89.7437+-5.1273
23,ft_448,all,hiresnet50.in1k_swav,,,,91.1248,2.9897,94.23042304230422,0.0001,84.03747797900563,3.2808810633229664,-8.936280774759583,91.1248\pm{2.9897},91.1248+-2.9897
23,ft_448,all,hiresnet50.in1k_mocov3,,,,90.9371,3.4903,94.4959495949595,0.0001,83.06917308329677,3.8381772711823614,-10.432601522877968,90.9371\pm{3.4903},90.9371+-3.4903
23,ft_448,all,hiresnet50.in1k_spark,,,,83.964,8.4762,92.81159666465462,0.01,60.066184704591606,10.095023528339624,-25.32760549919781,83.964\pm{8.4762},83.964+-8.4762
23,ft_448,all,hivit_base_patch16_224.orig_in21k,,,,85.2021,9.9048,92.57763560875586,0.03,46.417024343083305,11.625055555967073,-29.598131080562144,85.2021\pm{9.9048},85.2021+-9.9048
23,ft_448,all,hideit_base_patch16_224.fb_in1k,,,,85.7961,11.1813,93.5240429384769,0.03,46.90227698113312,13.032405023848034,-33.413574574177254,85.7961\pm{11.1813},85.7961+-11.1813
23,ft_448,all,hivit_base_patch16_224_miil.in21k,,,,82.4443,14.6818,92.25622562256224,0.01,35.34525799181633,17.808203253712648,-43.86745796220202,82.4443\pm{14.6818},82.4443+-14.6818
23,ft_448,all,hideit3_base_patch16_224.fb_in1k,,,,86.0079,11.4478,93.59135913591358,0.01,41.032695241764,13.310211024949648,-34.210384845217106,86.0079\pm{11.4478},86.0079+-11.4478
23,ft_448,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,85.4817,14.653,94.1029102910291,0.01,36.81607707932509,17.141724249952837,-43.78770124956271,85.4817\pm{14.653},85.4817+-14.653
23,ft_448,all,hivit_base_patch16_224.in1k_mocov3,,,,82.3507,15.7503,92.99092152717324,0.01,35.656771242504114,19.125824543822624,-47.05951153193023,82.3507\pm{15.7503},82.3507+-15.7503
23,ft_448,all,hivit_base_patch16_224.dino,,,,69.2989,27.2554,90.08320164037356,0.003,4.312532417700747,39.3302174932406,-81.37292533125554,69.2989\pm{27.2554},69.2989+-27.2554
23,ft_448,all,hivit_base_patch16_clip_224.laion2b,,,,62.1893,29.3969,90.99845001683444,5e-06,5.837400396140511,47.27004008579384,-87.71799232020737,62.1893\pm{29.3969},62.1893+-29.3969
23,ft_448,all,hivit_base_patch16_siglip_224.v2_webli,,,,78.5587,22.5458,95.57511655206092,0.003,10.973880812057716,28.699333202665695,-67.35049421616426,78.5587\pm{22.5458},78.5587+-22.5458
23,ft_448,all,hivit_base_patch16_224.mae,,,,76.5892,19.9655,93.21410697007106,0.01,29.156972952642096,26.068267290286045,-59.63573133447389,76.5892\pm{19.9655},76.5892+-19.9655
32,,aircraft,deit3_base_patch16_224.fb_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,deit3_base_patch16_224.fb_in22k_ft_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,deit_base_patch16_224.fb_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,resnet50.a1_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,resnet50.fb_ssl_yfcc100m_ft_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,resnet50.fb_swsl_ig1b_ft_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,resnet50.gluon_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,resnet50.tv2_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,resnet50.tv_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,vit_base_patch16_224.mae,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,vit_base_patch16_224.orig_in21k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,vit_base_patch16_224_miil.in21k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,aircraft,vit_base_patch16_clip_224.laion2b,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,deit3_base_patch16_224.fb_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,deit3_base_patch16_224.fb_in22k_ft_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,deit_base_patch16_224.fb_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,resnet50.a1_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,resnet50.fb_ssl_yfcc100m_ft_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,resnet50.fb_swsl_ig1b_ft_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,resnet50.gluon_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,resnet50.tv2_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,resnet50.tv_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,vit_base_patch16_224.mae,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,vit_base_patch16_224.orig_in21k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,vit_base_patch16_224_miil.in21k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cars,vit_base_patch16_clip_224.laion2b,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,deit3_base_patch16_224.fb_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,deit3_base_patch16_224.fb_in22k_ft_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,deit_base_patch16_224.fb_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,resnet50.a1_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,resnet50.fb_ssl_yfcc100m_ft_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,resnet50.fb_swsl_ig1b_ft_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,resnet50.gluon_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,resnet50.tv2_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,resnet50.tv_in1k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,vit_base_patch16_224.dino,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,vit_base_patch16_224.mae,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,vit_base_patch16_224.orig_in21k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,vit_base_patch16_224_miil.in21k,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,cub,vit_base_patch16_clip_224.laion2b,,,,,,,,,,,nan\pm{nan},nan+-nan
32,,soylocal,hiresnet50.tv_in1k,,,,32.9833,18.3329,54.5,5e-05,5.166666666666667,55.58232653474814,-54.4428888407858,32.9833\pm{18.3329},32.9833+-18.3329
32,,soylocal,hiresnet50.gluon_in1k,,,,33.45,20.8487,59.333333333333336,0.0001,3.333333333333333,62.32785778807006,-61.92272671244761,33.45\pm{20.8487},33.45+-20.8487
32,,soylocal,hiresnet50.in21k_miil,,,,37.4667,14.2471,57.833333333333336,0.0001,10.0,38.02610400659996,-42.361079863352344,37.4667\pm{14.2471},37.4667+-14.2471
32,,soylocal,hiresnet50.a1_in1k,,,,32.25,13.9078,53.5,0.0001,16.166666666666668,43.125024591675235,-41.29221104652903,32.25\pm{13.9078},32.25+-13.9078
32,,soylocal,hiresnet50.tv2_in1k,,,,33.6,21.034,58.333333333333336,0.0001,5.666666666666667,62.601049299686636,-62.47584720108726,33.6\pm{21.034},33.6+-21.034
32,,soylocal,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,26.4333,19.653,54.833333333333336,5e-05,2.333333333333333,74.34945718432849,-58.21562497532921,26.4333\pm{19.653},26.4333+-19.653
32,,soylocal,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,32.0667,21.5233,57.16666666666666,5e-05,5.0,67.12061422878372,-63.898824745802095,32.0667\pm{21.5233},32.0667+-21.5233
32,,soylocal,hiresnet50.in1k_supcon,,,,28.7,19.6112,55.5,5e-05,4.5,68.33156210943359,-58.150159355127975,28.7\pm{19.6112},28.7+-19.6112
32,,soylocal,hiresnet50.in1k_swav,,,,46.95,15.488,63.5,0.0001,10.333333333333334,32.98819656112972,-46.13399289073991,46.95\pm{15.488},46.95+-15.488
32,,soylocal,hiresnet50.in1k_mocov3,,,,43.0667,14.1564,57.333333333333336,0.0001,9.0,32.870800089119726,-42.14036571425148,43.0667\pm{14.1564},43.0667+-14.1564
32,,soylocal,hiresnet50.in1k_spark,,,,13.65,9.6566,33.166666666666664,1e-05,5.833333333333333,70.74423426391975,-28.26232158843594,13.65\pm{9.6566},13.65+-9.6566
32,,soylocal,hivit_base_patch16_224.orig_in21k,,,,36.3,18.3407,52.16666666666666,0.0001,6.166666666666667,50.5253597477421,-54.516863167813725,36.3\pm{18.3407},36.3+-18.3407
32,,soylocal,hideit_base_patch16_224.fb_in1k,,,,35.9444,15.8968,51.833333333333336,0.01,11.666666666666666,44.22603509171967,-47.248147489653846,35.9444\pm{15.8968},35.9444+-15.8968
32,,soylocal,hivit_base_patch16_224_miil.in21k,,,,36.2667,18.2121,53.833333333333336,0.03,8.333333333333334,50.21716179973229,-54.13410042011141,36.2667\pm{18.2121},36.2667+-18.2121
32,,soylocal,hideit3_base_patch16_224.fb_in1k,,,,30.4444,18.0603,48.5,5e-05,1.6666666666666667,59.32207826414627,-53.58761069861213,30.4444\pm{18.0603},30.4444+-18.0603
32,,soylocal,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,32.1,20.4026,58.333333333333336,5e-06,6.333333333333333,63.55954583047495,-60.57224717644263,32.1\pm{20.4026},32.1+-20.4026
32,,soylocal,hivit_base_patch16_224.in1k_mocov3,,,,28.4,16.2639,47.16666666666666,5e-05,5.166666666666667,57.26716010549781,-48.21894880882915,28.4\pm{16.2639},28.4+-16.2639
32,,soylocal,hivit_base_patch16_224.dino,,,,41.6296,20.8473,60.0,5e-06,7.333333333333333,50.07801367862225,-62.041094724070895,41.6296\pm{20.8473},41.6296+-20.8473
32,,soylocal,hivit_base_patch16_clip_224.laion2b,,,,43.4333,11.2834,58.833333333333336,5e-06,28.166666666666668,25.978759893251425,-33.59053654197409,43.4333\pm{11.2834},43.4333+-11.2834
32,,soylocal,hivit_base_patch16_siglip_224.v2_webli,,,,41.8148,13.8715,54.0,0.01,15.0,33.17375620929802,-41.28289661601531,41.8148\pm{13.8715},41.8148+-13.8715
32,,soylocal,hivit_base_patch16_224.mae,,,,48.5667,10.5842,58.833333333333336,0.0001,32.166666666666664,21.793198472714323,-31.534758190017627,48.5667\pm{10.5842},48.5667+-10.5842
32,,all,hiresnet50.tv_in1k,,,,32.9833,18.3329,54.5,5e-05,5.166666666666667,55.58232653474814,-54.4428888407858,32.9833\pm{18.3329},32.9833+-18.3329
32,,all,hiresnet50.gluon_in1k,,,,33.45,20.8487,59.333333333333336,0.0001,3.333333333333333,62.32785778807006,-61.92272671244761,33.45\pm{20.8487},33.45+-20.8487
32,,all,hiresnet50.in21k_miil,,,,76.7183,24.1119,93.55801517224226,0.0001,10.0,31.4290758379175,-72.02128741534348,76.7183\pm{24.1119},76.7183+-24.1119
32,,all,hiresnet50.a1_in1k,,,,32.25,13.9078,53.5,0.0001,16.166666666666668,43.125024591675235,-41.29221104652903,32.25\pm{13.9078},32.25+-13.9078
32,,all,hiresnet50.tv2_in1k,,,,33.6,21.034,58.333333333333336,0.0001,5.666666666666667,62.601049299686636,-62.47584720108726,33.6\pm{21.034},33.6+-21.034
32,,all,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,26.4333,19.653,54.833333333333336,5e-05,2.333333333333333,74.34945718432849,-58.21562497532921,26.4333\pm{19.653},26.4333+-19.653
32,,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,32.0667,21.5233,57.16666666666666,5e-05,5.0,67.12061422878372,-63.898824745802095,32.0667\pm{21.5233},32.0667+-21.5233
32,,all,hiresnet50.in1k_supcon,,,,73.0829,28.1811,94.17982837955478,0.03,4.5,38.56038594115322,-84.15756280018044,73.0829\pm{28.1811},73.0829+-28.1811
32,,all,hiresnet50.in1k_swav,,,,78.759,20.2852,93.63263275711977,0.0001,10.333333333333334,25.756037563672766,-60.59804311142959,78.759\pm{20.2852},78.759+-20.2852
32,,all,hiresnet50.in1k_mocov3,,,,77.5611,21.6051,93.68237781370476,0.0001,9.0,27.855626168966158,-64.53680226494963,77.5611\pm{21.6051},77.5611+-21.6051
32,,all,hiresnet50.in1k_spark,,,,64.9165,31.3772,91.8418107200597,0.01,5.833333333333333,48.334749211653026,-93.64834629043231,64.9165\pm{31.3772},64.9165+-31.3772
32,,all,hivit_base_patch16_224.orig_in21k,,,,36.3,18.3407,52.16666666666666,0.0001,6.166666666666667,50.5253597477421,-54.516863167813725,36.3\pm{18.3407},36.3+-18.3407
